sample,day,treatment_group,log(CFU)_per_gram_fecal_matter
m1_fecal_psg_r5_7d_9,09d,psg,5.767590378
m1_fecal_psg_r5_21d_21,21d,psg,6.011184167
m3_fecal_control_r5_7d_14,14d,control,2.196542884
m3_fecal_van_r5_7d_14,14d,van,2.110138279
m2_fecal_control_r5_21d_21,21d,control,2.503070352
m3_fecal_psg_r5_7d_9,09d,psg,5.016867925
m2_fecal_van_r5_7d_14,14d,van,2.053547735
m1_fecal_control_r5_21d_21,21d,control,2.4710833
m3_fecal_control_r5_7d_9,09d,control,1.976336082
m2_fecal_van_r5_7d_9,09d,van,4.791615225
m3_fecal_van_r5_21d_21,21d,van,2.051587034
m2_fecal_control_r5_7d_9,09d,control,2.27572413
m2_fecal_psg_r5_7d_14,14d,psg,5.48853618
m1_fecal_control_r5_7d_9,09d,control,2.642065153
m1_fecal_van_r5_7d_9,09d,van,4.289542392
m3_fecal_van_r5_7d_9,09d,van,2.64333688
m1_fecal_van_r5_21d_21,21d,van,2.348721986
m2_fecal_psg_r5_7d_9,09d,psg,4.69989502
m1_fecal_van_r5_7d_14,14d,van,2.26760624
m2_fecal_control_r5_7d_14,14d,control,2.26760624
m2_fecal_van_r5_21d_21,21d,van,2.087246696
m2_fecal_psg_r5_21d_21,21d,psg,6.048416987
m3_fecal_control_r5_21d_21,21d,control,2.49757288
m1_fecal_psg_r5_7d_14,14d,psg,5.331750489
m1_fecal_control_r5_7d_14,14d,control,2.051587034
m3_fecal_psg_r5_21d_21,21d,psg,5.969715196
m3_fecal_psg_r5_7d_14,14d,psg,5.56769109
m3_fecal_control_r4_7d_biolrep_9,09d,control,2.177831921
m1_fecal_psg_r6_7d_bioltechrep_9,09d,psg,7.526424026
m1_fecal_control_r5_7d_biolrep_9,09d,control,2.578396073
m3_fecal_van_r4_7d_biolrep_14,14d,van,2.335358024
m2_fecal_van_r6_7d_bioltechrep_14,14d,van,2.26760624
m3_fecal_control_r6_21d_bioltechrep_21,21d,control,2.70333481
m4_fecal_control_r6_21d_bioltechrep_21,21d,control,2.389339837
m4_fecal_van_r6_21d_bioltechrep_21,21d,van,2.140261434
m3_fecal_psg_r6_21d_bioltechrep_21,21d,psg,7.441648937
m1_fecal_control_r5_7d_biolrep_14,14d,control,2.387216143
m3_fecal_psg_r6_7d_bioltechrep_9,09d,psg,8.38009918
m3_fecal_control_r4_7d_biolrep_14,14d,control,2.779891912
m1_fecal_psg_r6_21d_bioltechrep_21,21d,psg,7.430425763
m1_fecal_van_r6_21d_bioltechrep_21,21d,van,2.492144128
m2_fecal_control_r4_7d_biolrep_9,09d,control,2.248720896
m1_fecal_control_r6_21d_bioltechrep_21,21d,control,2.446116973
m1_fecal_psg_r6_7d_bioltechrep_14,14d,psg,8.125766753
m2_fecal_van_r6_7d_bioltechrep_9,09d,van,2.923723745
m3_fecal_van_r6_21d_bioltechrep_21,21d,van,2.289036881
m2_fecal_control_r4_7d_biolrep_14,14d,control,2.616184634
m1_fecal_van_r5_7d_biolrep_9,09d,van,3.2476023
m1_fecal_van_r5_7d_biolrep_14,14d,van,2.333482019
m4_fecal_psg_r6_21d_bioltechrep_21,21d,psg,7.459526137
m2_fecal_psg_r6_7d_bioltechrep_9,09d,psg,8.096910013
m2_fecal_psg_r6_7d_bioltechrep_14,14d,psg,7.645913275
m3_fecal_psg_r6_7d_bioltechrep_14,14d,psg,8.012256037
m3_fecal_van_r4_7d_biolrep_9,09d,van,2.59345982
